Name,Address,Phone,Email,State
vivekananda kendra nagarpalika vidyalaya,"ranchi tekri, p.o. junglighat, pt blair, distt. south andaman, andaman & nicobar island pin-744103,",",",,ANDAMAN & NICOBAR 
VIVEKANANDA KENDRA VIDYALAYA,"LAMBA LINE  POST BOX NO.501 JUNGLIGHAT P.O  PORT BLAIR A & N ISLANDS,744103","3192,233426",svkvkv@gmail.com,ANDAMAN & NICOBAR 
VIVEKANANDA KENDRA VIDYALAYA,"P.B.No.-501, Jungli Ghat Post,Port Blair Andaman & Nicobar Island,744104","3192,274116",shanmugarao444@gmail.com,ANDAMAN & NICOBAR 
vivekananda kendra zilla parishad vidyalaya,"pahalgaon, po tugapur, maya bunder, village, pahalgaon, nth & middle andaman,744204","3192,276748",vkzpvpahalgaon@gmail.com,ANDAMAN & NICOBAR 
"vivekananda kendra zilla parishad vidyalaya,","kadamtala,  vill & post- kadamtala, middle andaman, pin- 744 209, andaman & nicobar island,",",",,ANDAMAN & NICOBAR 
"vivekananda kendra zilla parishad vidyalaya, diglipur","r.k. gram,744202","03825,09436486938",emrsrajnagar@gmail.com,ANDAMAN & NICOBAR 
"vivekananda kendra zilla parishad vidyalaya, pt mout","p.o. chouldari, port mout, near g s s school, dist. tehsil farargunj south andaman pin 744103,744103",",03192220215",ptblair@vkendra.g,ANDAMAN & NICOBAR 
A K R G TECHNO SCHOOL,"NALLAJERLA,534112","818,277993",akrgschool@gmail.com,ANDHRA PRADESH 
ABHYAS THE GLOBAL SCHOOL,"4-155,JP Road PEDAMIRAM VILLAGE, KALLA MANDAL WEST GODAVARI ANDHRA PRADESH,534204","8816,223445",syjdora@gmail.com,ANDHRA PRADESH 
Accord School,"RC Road, Chiguruwada North, Tirupati chittoor, Andhra Pradesh,517507","0877,6457775",info@theaccordschool.com,ANDHRA PRADESH 
ADARSH PUBLIC SCHOOL,"VINAYAK NAGAR PEDAGANTYUDA ANDHRA PRADESH,530044","0891,2511251",mahamadhav69@gmail.com,ANDHRA PRADESH 
akshara International School,"1/45, Thimmampeta(vill)Garladinne(man),Anantapur(Dist),515731","8551,286923",sree.aksharaschool@gmail.com,ANDHRA PRADESH 
AKSHARA SCHOOL,"N F C L TOWNSHIP KAKINADA ANDHRA PRADESH,533003","0884,2365053",dsuseela57@gmail.com,ANDHRA PRADESH 
Akshara The School,"AKSHERA ROAD, PATHAPATANAM,532213","8946,255622",moningiravikumar@gmail.com,ANDHRA PRADESH 
AKSHARA THE SCHOOL,"Plot No.33 & 35, H.No.7-3-221, Sri Sai Ram Nagar, Bairamalguda, Sagar Ring Road, L.B.Nagar, Hyderabad.,500079",",040 24095555",akshara.lbnagar@gmail.com,ANDHRA PRADESH 
AKSHARA VAAGDEVI INTERNATIONAL SCHOOL,"sy.no:703,bolton road,opp tivoli gardens,500003","040,65120033",jpadma21@gmail.com,ANDHRA PRADESH 
Akshara Vidyalaya,"Saraswathi Nagar, Yerra Gunta, NH - 05,524320","0861,2351000",kumuda.muppala@gmail.com,ANDHRA PRADESH 
ALLURI SITARAMARAJU PUB.SCHOOL,"ARAKKUVALLEY VISAKHAPATNAM ANDHRA PRADESH,531149","8936,249648",pvsnr.varma03@gmail.com,ANDHRA PRADESH 
AMARARAJA VIDYALAYAM,"KARAKAMBADI VILLAGE,KARAKAMBADI POST,RENIGUNTA MANDAL,CHITTOOR DISTRICT,ANDHRA PRADESH-517520,517520","0877,2265000",prinicipalarv@amararaja.co.in,ANDHRA PRADESH 
Ambitus World School,"Survey No: 473,Miyapur - Medchal Highway Road,Near Bachupally,Bowrampet,Quthbullapur Mandal,Rangareddy district,500054",",040 65451111",info@ambitusworldschool.com,ANDHRA PRADESH 
Ameya World School,"Sangivalasa,531162","8933,7093323502",principal@ameyaworldschool.in,ANDHRA PRADESH 
amrita vidyalayam,"844/1 mahindra hills marredpally secunderabad Andhra Pradesh,500026","040,27739898",ammassku@yahoo.co.in,ANDHRA PRADESH 
ANSARI OXFORD CENTRAL SCHOOL,"ANSARI NAGAR RAYACHOTY ROAD CUDDAPAH ANDHRA PRADESH,516003","08562,24148",,ANDHRA PRADESH 
APPLE I ENGLISH MEDIUM SCHOOL,"DOOR NO 27-1-203/2, SRINAGAR, 61ST WARD OF GVMC, GAJUWAKA (PO),530026","0891,6581111",principal.appleiemschool@gmail.com,ANDHRA PRADESH 
ARBOR INTERNATIONAL SCHOOL,"SURVEY NO-92,MASEEDBANDA, KONDAPUR,500084","0542,040-68888870",arborinternational@gmail.com,ANDHRA PRADESH 
ARMY PUBLIC SCHOOL,"NEAR EAGLE CHOWK, OLD CDM COMPLEX, BOLARUM, RANGAREDDY, SECUNDERABAD, ANDHRA PRADESH-500010,500010","040,7940368",,ANDHRA PRADESH 
army public school.,"ramakrishnapuram secunderabad andhra pradesh,500056","040,7794729",armysch@rediffmail.com,ANDHRA PRADESH 
ashram public school,"pithapuram road opp. boat club kakinada andhra pradesh,533003","0884,2378798",principal@ashrampublicschool.com,ANDHRA PRADESH 
ATKINSON HIGH SCHOOL,"IRON MARKET GOLLAPUDI VIJAYAVADA ANDHRA PRADESH,521225","0866,2413175",anthukonda@yahoo.in,ANDHRA PRADESH 
ATKINSON HIGH SCHOOL,"CONVENT STREET, VIJAYAWADA- 520001,520001","0866,2565790",pushpaa05@yahoo.com,ANDHRA PRADESH 
AVENUES ENGLISH MEDIUM HIGH SCHOOL,"PRASANTHI NAGAR,BRAHMANANDAPURAM, NELLORE, SPSR NELLORE DISTRICT,524003",",9247007000",principal@avenuesschools.com,ANDHRA PRADESH 
B V BHAVAN'S RES PUBLIC SCHOOL,"PEDATADEPALLI P.O TADEPALLIGUDEM W.G.DISTT ANDHRA PRADESH,534101","8818,284234",vr.bvbrp@gmail.com,ANDHRA PRADESH 
B V BHAVANS INTERNATIONAL RES PUB SC,"RES. PUBLIC SCHOOL BHIMAVARAM BHIMAVARAM  WEST GODAVARY DISTT. ANDHRA PRADESH,534203","8816,232135",principalramadevi@gmail.com,ANDHRA PRADESH 
B V REDDY SR SEC SCHOOL,"SATYANARAYANAPURAM C G PALLE POST CHITTOOR ANDHRA PRADESH,517002","8572,651954",bvrs25@gmail.com,ANDHRA PRADESH 
BAL BHARATI PUBLIC SCHOOL,"DEEPANJALI NAGAR SIM HADRI NTPC TOWNSHIP VISAKHAPATNAM ANDHRA PRADESH,531020","8924,243002",mpadmajamurthy@yahoo.in,ANDHRA PRADESH 
BES Model High School,"NH-205, Kadiri Road, Near Angallu , kurabalakota,mandal,chitoor, Andhra Pradesh-517350,517350","8571,280216",KRAFI.BES@GMAIL.COM,ANDHRA PRADESH 
Bethesda Integrated School,"Bethesda Integrated School, Konnam gunta Road,Nuzvid, Krishna District.  AP,521201",",08656 200056",Syambandi@gmail.com,ANDHRA PRADESH 
Bharatiya Vidya Bhavans Residentional Public School,"Namavaram, Rajanagaram mandalam,533101","0883,2556142",satyendraprasadi@gmail.com,ANDHRA PRADESH 
BHARATIYA VIDYA BHAVANS VIDYASHRAM,"COLLECTORSBUNGALOW ROAD, GUNTUR, ANDHRA PRADESH.,522004","0863,2234802",bhavansguntur@gmail.com,ANDHRA PRADESH 
BHARTIYA VIDYA BHAVANS SRI VENKATESWARA VIDYALAYA,"PB NO 12 BVB CAMPUS SAPTHAGIRI NAGAR ALIPIRI TIRUPATI ANDHRA PRADESH,517507","0877,2288657",principal@bavantirupti.org,ANDHRA PRADESH 
BHASHYAM BLOOMS,"BHASHYAM BLOOMS,Ring road,Guntur, ANDHRA PRADESH-522007,522007","0863,2246015",bhashyamblooms_gnt@yahoo.com,ANDHRA PRADESH 
BHASHYAM BLOOMS THE GLOBAL SCHOOL,"Imbrahimbagh, Golconda Mandal, Hhyderabad,500031",",04065241298",Nivedita.Jairam@bhashyam.in,ANDHRA PRADESH 
BHAVYA CEMENTS D A V SCHOOL,"TANGEDA VILLAGE,DACHEPALLY MANDAL,GUNTUR DIST,ANDHRA PRADESH.PIN:522414,522414","8649,273818",bcdavpublicschool@gmail.com,ANDHRA PRADESH 
Bheeram Sreedhar Reddy International School,"Bheeram Sreedhar Reddy Nagar,,516163",",08562240266",bheerams@gmail.com,ANDHRA PRADESH 
BHPV SR SEC SCHOOL,"BHPV TOWNSHIP BHPV LIMITED VISAKHAPATNAM ANDHRA PRADESH,530012","0891,517381",ed.bhpv@rmj.sprintrpg.ems.vsnl.net.in,ANDHRA PRADESH 
Bolton School,"BOLTON ROAD, OPP.-TIVOLI GARDEN EXCLUSIVE, SECUNDRABAD,500003","040,65244844",srilu76@gmail.com,ANDHRA PRADESH 
boon school,"ramanayyapeta kakinada   East Godavari district andhra pradesh,533005","0884,2357693",boonschoolkkd@gmail.com,ANDHRA PRADESH 
BVB KAMALA RANI SANGHI PUB SCHOOL,"HAYATNAGAR MANDAL MANDAL  RANGAREDDY DISTT. ANDHRA PRADESH,501511","040,243959",anuradha44@gmail.com,ANDHRA PRADESH 
